"Serie","Folio","cfdiUUID","Tipo","Fecha","Hora","RFC","Receptor","Estado","Primer Concepto","Forma de pago","Método de pago","Moneda","Tipo de Cambio","Subtotal","Impuesto Retenido IVA","Impuesto Retenido ISR","Impuesto Trasladado IVA","Impuesto Trasladado IEPS","Impuesto Local Retenido","Impuesto Local Trasladado","Descuento","Total","Fecha Inicial de Pago","Fecha Final de Pago","Subtotal MXN","Impuesto Retenido IVA MXN","Impuesto Retenido ISR MXN","Impuesto Trasladado IVA MXN","Impuesto Trasladado IEPS MXN","Impuesto Local Retenido MXN","Impuesto Local Trasladado MXN","Descuento MXN","Total MXN",
"","274","1301994D-3AF8-454F-8D8C-48888E75554C","Factura","05/01/2022","10:33:38","IFB19011873A","INTEGRACIÓN FUNERARIA DEL BAJIO SA DE CV","Vigente","Servicio de jardinería integral","Transferencia electrónica de fondos","Pago en una sola exhibición","Peso Mexicano","","600.00","0.00","0.00","96.00","0.00","0.00","0.00","0.00","696.00","","","600.00","0.00","0.00","96.00","0.00","0.00","0.00","0.00","696.00","",""
"","275","3F2FC9B8-F4F1-4058-A6D3-7427A54B783F","Factura","05/01/2022","13:04:13","CTI171116370","CONDÓMINOS T.M. III, A.C.","Vigente","Servicio de jardinería integral","Transferencia electrónica de fondos","Pago en parcialidades o diferido","Peso Mexicano","","7260.00","0.00","0.00","1161.60","0.00","0.00","0.00","0.00","8421.60","","","7260.00","0.00","0.00","1161.60","0.00","0.00","0.00","0.00","8421.60","",""
"","276","61651A41-591F-47CC-9FC9-4B99FEA76ADD","Factura","06/01/2022","10:04:08","IFB19011873A","INTEGRACIÓN FUNERARIA DEL BAJIO SA DE CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","600.00","0.00","0.00","96.00","0.00","0.00","0.00","0.00","696.00","","","600.00","0.00","0.00","96.00","0.00","0.00","0.00","0.00","696.00","",""
"","277","29ABD842-FADF-458D-BEA4-BF2B282E0D8E","Factura","06/01/2022","16:43:48","CTI171116370","CONDÓMINIOS T.M. III, A.C.","Vigente","Servicio de jardinería integral","Transferencia electrónica de fondos","Pago en parcialidades o diferido","Peso Mexicano","","5130.00","0.00","0.00","820.80","0.00","0.00","0.00","0.00","5950.80","","","5130.00","0.00","0.00","820.80","0.00","0.00","0.00","0.00","5950.80","",""
"","278","B493090C-2E3A-4467-BFA1-9996AD8A56EC","Factura","06/01/2022","17:02:21","CCD160712T78","CONDOMINOS DEL CONDOMINIO 2 TEC 100 AC","Vigente","Servicio de jardinería integral","Transferencia electrónica de fondos","Pago en parcialidades o diferido","Peso Mexicano","","2130.00","0.00","0.00","340.80","0.00","0.00","0.00","0.00","2470.80","","","2130.00","0.00","0.00","340.80","0.00","0.00","0.00","0.00","2470.80","",""
"","279","C947364C-8CD2-4C7C-B244-FDB8A36F50C8","Factura","07/01/2022","14:10:20","LVP150828QT3","PROPERTY MANAGEMENT HJ SAPI DE CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","280","9224AC8A-7E96-444C-BD7A-75098C3DAD03","Factura","13/01/2022","13:47:30","TAI2010231Q8","TAANAH ADMINISTRADORA DE INMUEBLES","Vigente","Fraccionamiento Sedas el Naranjo Enero","Transferencia electrónica de fondos","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","281","94D837E0-FB30-4CD8-AF3D-9FFA506FEFD2","Factura","13/01/2022","14:01:44","NIN910514BE0","NIPPO INMOBILIARIA SA DE CV","Vigente","Fraccionamiento Paseo de Rodas Enero","Transferencia electrónica de fondos","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","282","A21C9620-42C5-42E5-8051-2902C90E99EB","Factura","14/01/2022","09:09:44","CTI171116370","CONDÓMINIOS T.M. III, A.C.","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","283","69A6D5E3-8485-403E-9741-F047B1A502FD","Factura","14/01/2022","09:17:49","CCD160712T78","CONDOMINOS DEL CONDOMINIO 2 TEC 100 AC","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","2130.00","0.00","0.00","340.80","0.00","0.00","0.00","0.00","2470.80","","","2130.00","0.00","0.00","340.80","0.00","0.00","0.00","0.00","2470.80","",""
"","284","689D7631-3A0C-4438-900A-A34F407A6716","Factura","18/01/2022","13:01:50","IFB19011873A","INTEGRACIÓN FUNERARIA DEL BAJIO SA DE CV","Vigente","Servicio de jardinería integral","Transferencia electrónica de fondos","Pago en una sola exhibición","Peso Mexicano","","600.00","0.00","0.00","96.00","0.00","0.00","0.00","0.00","696.00","","","600.00","0.00","0.00","96.00","0.00","0.00","0.00","0.00","696.00","",""
"","285","2F875D0D-8663-47C6-A5E5-CA3351A7BA06","Complemento de Pagos","18/01/2022","13:43:18","LVP150828QT3","PROPERTY MANAGEMENT HJ SAPI DE CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","286","21B0B1B8-A88B-42C4-9BDD-1CBF3481C357","Factura","25/01/2022","13:24:30","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Transferencia electrónica de fondos","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","287","65385B43-A07C-402D-9B4E-35D8D8FD3764","Factura","26/01/2022","20:52:55","CTI171116370","CONDÓMINIOS T.M. III, A.C.","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","288","089F0675-1E76-46D3-A09E-482E75C3507D","Factura","26/01/2022","21:03:36","CCD160712T78","CONDÓMINOS DEL CONDOMINIO 2 TEC 100 AC","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","2130.00","0.00","0.00","340.80","0.00","0.00","0.00","0.00","2470.80","","","2130.00","0.00","0.00","340.80","0.00","0.00","0.00","0.00","2470.80","",""
"","289","5167B159-A2C1-4A1B-A568-22FAD1ED6558","Factura","26/01/2022","21:07:40","LVP150828QT3","PROPERTY MANAGEMENT HJ SAPI DE CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","6403.00","0.00","0.00","1024.48","0.00","0.00","0.00","0.00","7427.48","","","6403.00","0.00","0.00","1024.48","0.00","0.00","0.00","0.00","7427.48","",""
El reporte incluye comprobantes del folio 274 al 289.
*En las últimas columnas podrá encontrar los impuestos y totales en moneda nacional (MXN).
